number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_size,params_learning_rate,params_num_epochs,params_num_layers,state
76,1.4655673678347605,2024-04-20 01:49:59.553856,2024-04-20 01:50:16.153954,0 days 00:00:16.600098,128,64,6.121532596768046e-05,133,2,PRUNED
77,0.5863248806520802,2024-04-20 01:50:16.154334,2024-04-20 01:50:47.806504,0 days 00:00:31.652170,128,128,0.00010203221000908301,118,2,PRUNED
78,0.5782719839882378,2024-04-20 01:50:47.806970,2024-04-20 01:51:07.065321,0 days 00:00:19.258351,128,64,0.00021580921767550782,145,2,PRUNED
79,1.2958901548227726,2024-04-20 01:51:07.065613,2024-04-20 01:51:22.173141,0 days 00:00:15.107528,128,64,0.0001559140735702901,179,1,PRUNED
80,0.559202967672948,2024-04-20 01:51:22.174023,2024-04-20 01:51:35.539946,0 days 00:00:13.365923,64,32,0.0005316090892057496,90,2,COMPLETE
81,0.6850712832630864,2024-04-20 01:51:35.540304,2024-04-20 01:51:58.653332,0 days 00:00:23.113028,128,64,0.0009273100542887205,169,2,PRUNED
82,0.5905024385215432,2024-04-20 01:51:58.653754,2024-04-20 01:52:05.794859,0 days 00:00:07.141105,128,64,0.022094190106463022,55,2,PRUNED
83,0.5561872359735287,2024-04-20 01:52:05.795110,2024-04-20 01:52:17.276833,0 days 00:00:11.481723,128,64,0.0003570816137971738,81,2,COMPLETE
84,0.78220897549825,2024-04-20 01:52:17.277155,2024-04-20 01:52:27.892293,0 days 00:00:10.615138,128,64,0.00018332923144167898,82,2,PRUNED
85,0.6026692840437227,2024-04-20 01:52:27.892728,2024-04-20 01:52:48.211011,0 days 00:00:20.318283,128,64,0.0003912845122719206,154,2,PRUNED
86,0.5679300692302502,2024-04-20 01:52:48.211252,2024-04-20 01:53:03.973302,0 days 00:00:15.762050,128,128,0.00024132419411602787,57,2,PRUNED
87,0.620926333065854,2024-04-20 01:53:03.973578,2024-04-20 01:53:23.076035,0 days 00:00:19.102457,32,64,0.00031394445197879237,65,2,PRUNED
88,0.5390944984180248,2024-04-20 01:53:23.076810,2024-04-20 01:53:59.827506,0 days 00:00:36.750696,128,64,0.00010915152006872668,187,3,COMPLETE
89,6.715883786788839,2024-04-20 01:53:59.828532,2024-04-20 01:54:07.305800,0 days 00:00:07.477268,128,64,2.3029622082928063e-05,50,2,PRUNED
90,0.6741662861890352,2024-04-20 01:54:07.306131,2024-04-20 01:54:59.365780,0 days 00:00:52.059649,128,128,0.00011658172262932438,187,2,PRUNED
91,0.557129619018921,2024-04-20 01:54:59.366766,2024-04-20 01:55:39.548277,0 days 00:00:40.181511,128,64,0.0001809238969381703,208,3,COMPLETE
92,0.60483991847133,2024-04-20 01:55:39.548653,2024-04-20 01:56:15.143145,0 days 00:00:35.594492,128,64,6.861974879724727e-05,197,3,PRUNED
93,1.260557300207631,2024-04-20 01:56:15.143626,2024-04-20 01:56:25.603833,0 days 00:00:10.460207,128,64,0.00013867769431540245,59,3,PRUNED
94,0.5462724702247721,2024-04-20 01:56:25.604087,2024-04-20 01:57:03.644058,0 days 00:00:38.039971,128,64,9.768875128744305e-05,208,3,COMPLETE
95,0.5426623687838876,2024-04-20 01:57:03.645050,2024-04-20 01:57:45.756614,0 days 00:00:42.111564,128,64,9.949621712958747e-05,230,3,COMPLETE
96,0.5519395461540348,2024-04-20 01:57:45.756953,2024-04-20 01:58:27.352669,0 days 00:00:41.595716,128,64,9.610432115088357e-05,227,3,COMPLETE
97,1.0782402462517189,2024-04-20 01:58:27.353006,2024-04-20 01:59:11.459321,0 days 00:00:44.106315,128,64,3.4441736250105754e-05,234,3,PRUNED
98,0.5392776527941622,2024-04-20 01:59:11.460285,2024-04-20 01:59:54.926309,0 days 00:00:43.466024,128,64,9.179049485093836e-05,227,3,COMPLETE
99,0.5710865233512903,2024-04-20 01:59:54.927327,2024-04-20 02:00:50.225321,0 days 00:00:55.297994,64,64,9.596894101195427e-05,230,3,PRUNED
