number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_size,params_learning_rate,params_num_epochs,params_num_layers,state
71,1.2359462712774212,2024-04-19 22:51:56.654145,2024-04-19 22:52:15.142551,0 days 00:00:18.488406,64,64,0.00013978041159063575,67,3,COMPLETE
72,1.2258157799575504,2024-04-19 22:52:15.143207,2024-04-19 22:52:42.918377,0 days 00:00:27.775170,64,64,7.218335189950876e-05,99,3,COMPLETE
73,1.2379882122507158,2024-04-19 22:52:42.919382,2024-04-19 22:53:10.617447,0 days 00:00:27.698065,64,64,7.553355371594432e-05,97,3,COMPLETE
74,1.2589471667018157,2024-04-19 22:53:10.617793,2024-04-19 22:53:39.738939,0 days 00:00:29.121146,64,64,5.730862870750052e-05,97,3,PRUNED
75,1.2341054263493874,2024-04-19 22:53:39.739911,2024-04-19 22:56:01.118492,0 days 00:02:21.378581,64,256,2.8212714502944525e-05,92,3,COMPLETE
76,1.5870807120342127,2024-04-19 22:56:01.119754,2024-04-19 22:56:24.257740,0 days 00:00:23.137986,32,64,1.8660046628920984e-05,50,3,PRUNED
77,1.3118344025896085,2024-04-19 22:56:24.257974,2024-04-19 22:56:47.458316,0 days 00:00:23.200342,64,64,4.1886888017630605e-05,81,3,PRUNED
78,1.2340360834109074,2024-04-19 22:56:47.459182,2024-04-19 22:57:24.429878,0 days 00:00:36.970696,64,64,9.443390904335198e-05,117,3,COMPLETE
79,2.0478357300853096,2024-04-19 22:57:24.430886,2024-04-19 22:58:50.603024,0 days 00:01:26.172138,32,64,0.00018234870064765725,184,3,PRUNED
80,1.5831946744034622,2024-04-19 22:58:50.603959,2024-04-19 22:59:12.912468,0 days 00:00:22.308509,64,128,0.00028534562042895837,57,2,PRUNED
81,1.220355506685396,2024-04-19 22:59:12.913361,2024-04-19 22:59:35.077561,0 days 00:00:22.164200,64,64,0.0001380134776386279,74,3,COMPLETE
82,1.242313987292991,2024-04-19 22:59:35.078530,2024-04-19 22:59:55.009841,0 days 00:00:19.931311,64,64,7.571647949209592e-05,68,3,COMPLETE
83,1.23520377677008,2024-04-19 22:59:55.010194,2024-04-19 23:00:19.371780,0 days 00:00:24.361586,64,64,0.00011060539641323542,88,3,COMPLETE
84,1.2839318168084355,2024-04-19 23:00:19.372500,2024-04-19 23:00:39.697667,0 days 00:00:20.325167,64,64,5.1950135358538054e-05,77,3,PRUNED
85,1.5244736188294872,2024-04-19 23:00:39.698142,2024-04-19 23:01:32.645160,0 days 00:00:52.947018,64,64,0.00015185053808885513,170,3,PRUNED
86,3.517136838104551,2024-04-19 23:01:32.646118,2024-04-19 23:09:31.903664,0 days 00:07:59.257546,32,256,7.068368734792099e-05,257,3,PRUNED
87,1.904260488693288,2024-04-19 23:09:31.904676,2024-04-19 23:10:27.821524,0 days 00:00:55.916848,64,64,0.00021673703928179434,198,3,PRUNED
88,1.6937880852364546,2024-04-19 23:10:27.822314,2024-04-19 23:10:44.404633,0 days 00:00:16.582319,64,64,0.0036272145503508605,63,3,PRUNED
89,1.8524878036107448,2024-04-19 23:10:44.404871,2024-04-19 23:12:12.395943,0 days 00:01:27.991072,32,64,9.70849861257943e-05,225,3,PRUNED
